Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc,Embedding
AdaBoostClassifier_tfidf_cv,434.7612018585205,0.74779,0.7213793076118399,0.8098284176675762,0.7622760253132872,0.8245414491676417,0.7441000000000001,0.7186969957332463,0.8056194521101313,0.7586769469013191,0.8208533807325843,_tfidf_cv
MLPClassifier_tfidf_cv,4106.795024633408,0.99828,0.9984998748489708,0.9980617901218072,0.9982807025521336,0.9999605634304384,0.8657,0.8654989011370532,0.8659973451114382,0.8657409451994489,0.9385412967592452,_tfidf_cv
LogisticRegression_w2v,0.3692221641540527,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,_w2v
SGDClassifier_w2v,0.9116363525390624,0.5,0.5,1.0,0.6666666666666666,0.7356636075,0.5,0.5,1.0,0.6666666666666666,0.7292518000000001,_w2v
LinearSVC_w2v,0.6776614189147949,0.670725,0.652698895398238,0.72975,0.6890772172517173,0.740606045,0.6696,0.6515909903468001,0.729,0.6881253539739475,0.73455008,_w2v
BernoulliNB_w2v,0.330507755279541,0.658825,0.6498278383095137,0.68885,0.6687701754811777,0.72051452,0.6487,0.6399924684616833,0.6798,0.6592958975851033,0.7128207999999999,_w2v
DecisionTreeClassifier_w2v,41.45152688026428,1.0,1.0,1.0,1.0,1.0,0.5572,0.5584389047813649,0.5466,0.5524560339599758,0.5572,_w2v
RandomForestClassifier_w2v,55.957843542099,1.0,1.0,1.0,1.0,1.0,0.6715,0.6705788740799682,0.6742,0.6723845616834546,0.73789436,_w2v
ExtraTreesClassifier_w2v,12.146318912506104,1.0,1.0,1.0,1.0,1.0,0.6632,0.6657862657456318,0.6554,0.6605523080024188,0.7297471200000001,_w2v
GradientBoostingClassifier_w2v,943.8027477264404,0.7379,0.7345691185170578,0.745,0.7397477906861285,0.81666745,0.6954,0.6889017788089714,0.7126,0.7005505308690523,0.76626764,_w2v
AdaBoostClassifier_w2v,168.3111047744751,0.6766,0.675476947535771,0.6798,0.6776315789473685,0.7423389075,0.6652,0.6605754276827371,0.6796,0.6699526813880127,0.72538512,_w2v
MLPClassifier_w2v,580.2255051136017,0.74295,0.7322213725865035,0.76605,0.7487537875085525,0.8200199887500002,0.7343,0.7252451451643914,0.7544,0.7395353396725811,0.81389052,_w2v
LogisticRegression_w2v_cv,1.9778995513916016,0.53147,0.3237865326251897,0.562887422515497,0.4073794895081563,0.6910822390855429,0.5276,0.3214238938053097,0.5602081665332266,0.404640858017751,0.6887073605214115,_w2v_cv
SGDClassifier_w2v_cv,6.269088983535767,0.5003500000000001,0.300175,0.6,0.4001554938793639,0.739081391228652,0.4986,0.2993,0.6,0.3993767887536819,0.7369719935033944,_w2v_cv
LinearSVC_w2v_cv,8.035139799118042,0.673805,0.6584425526687009,0.7293382223412622,0.6904059786554253,0.7436713449773134,0.66964,0.6549612935330928,0.7251272669147277,0.6864652767402291,0.7415317280054603,_w2v_cv
BernoulliNB_w2v_cv,3.0289740562438965,0.65931,0.6505298280789276,0.6884900531282823,0.6689709393277014,0.7219632090216364,0.6577200000000001,0.6492020935986667,0.686232943103635,0.6672036839471142,0.7190353465927455,_w2v_cv
DecisionTreeClassifier_w2v_cv,274.490713596344,1.0,1.0,1.0,1.0,1.0,0.5566599999999999,0.5568695851293605,0.5549294870486416,0.5558884587414861,0.5566670714636788,_w2v_cv
RandomForestClassifier_w2v_cv,986.3724091053008,1.0,1.0,1.0,1.0,1.0,0.6748000000000001,0.6737875165129841,0.6778142408705127,0.6757575794512738,0.7436700111229547,_w2v_cv
ExtraTreesClassifier_w2v_cv,208.64589142799375,1.0,1.0,1.0,1.0,1.0,0.6688599999999999,0.6712822404545056,0.6618646989517316,0.6665145548117869,0.7354219124214223,_w2v_cv
GradientBoostingClassifier_w2v_cv,6363.664707899094,0.737805,0.7336093748791066,0.7467889649526945,0.7401382118850779,0.8169625971161578,0.6931799999999999,0.6902129125530336,0.7010414635130328,0.6955495937626347,0.7642412763696808,_w2v_cv
AdaBoostClassifier_w2v_cv,1170.1479988098145,0.67658,0.6799567025477667,0.6674989769923675,0.6735302737455067,0.7437833096577362,0.66344,0.6666167021955907,0.6545018977878716,0.6603051877522511,0.7259903346605567,_w2v_cv
MLPClassifier_w2v_cv,15188.416323661804,0.74336,0.7351351960142228,0.762931167913485,0.7480971321658263,0.8234314530482099,0.73634,0.7283461563736775,0.7554693723792356,0.7409666804317423,0.8149288760853258,_w2v_cv
LogisticRegression_fast_text,0.2721548080444336,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,_fast_text
SGDClassifier_fast_text,0.6810810565948486,0.5,0.5,1.0,0.6666666666666666,0.73251531125,0.5,0.5,1.0,0.6666666666666666,0.73203944,_fast_text
LinearSVC_fast_text,0.5178284645080566,0.6674,0.6492111596398966,0.72835,0.6865073754653848,0.7332461674999999,0.6667,0.6490788767662314,0.7258,0.6852988386365783,0.7327459600000001,_fast_text
